,video,description
0,mixkit-traffic-in-an-underground-tunnel-4067.mp4,Time lapse of traffic in an underground tun in a city with tall buildings at night.
0,mixkit-pink-sunset-seen-from-a-plane-window-4204.mp4,View from a plane window while it flies in the sky over the clouds before a pink sunset.
0,mixkit-curve-on-a-snowy-forest-road-3317.mp4,Pickup trucks turning a curve in a highway in a snowy pine forest in Canada.
0,mixkit-point-of-view-from-a-bus-passenger-seat-roading-in-4394.mp4,Point of view from a bus passenger seat roading in a highway surrounded by dirt trees and bushes on a sunny day.
0,mixkit-blonde-woman-driving-on-road-4521.mp4,Blonde-haired woman driving a car on the road viewed from the back seat on a sunny day.
0,mixkit-tour-along-the-coast-4062.mp4,"Time lapse of a tour of the coast with palm trees, people walking and buildings in the background"
0,mixkit-workers-moving-containers-from-a-cargo-ship-4450.mp4,"Tokyo industrial port as workers move containers from a cargo ship, on a cloudy afternoon, in the background you can see the river with ships sailing."
0,mixkit-flight-getting-ready-for-departure-4065.mp4,Flight preparing for departure. Airport workers prepare a plane for takeoff while passengers enter the aisle.
0,mixkit-airplane-landing-rear-view-7477.mp4,Airplane landing rear view
0,mixkit-large-container-area-working-at-night-36318.mp4,Large container area working at night
0,mixkit-people-walking-down-an-airport-corridor-in-fast-motion-4008.mp4,"People walking in the corridor of an airport in fast motion, in the background a large window with a metal structure"
0,mixkit-air-travel-over-a-couple-of-expressways-39939.mp4,"Aerial journey over a couple of highways surrounded by nature, with cars and trucks traveling in both directions."
0,mixkit-plane-in-the-sky-aerial-low-view-17999.mp4,"Plane in the sky, aerial low view"
0,mixkit-view-of-the-rail-tracks-from-the-train-25132.mp4,View of  the rail tracks from the train
0,mixkit-airplane-moving-trough-the-airport-track-in-the-morning-7026.mp4,Airplane moving trough the airport track in the morning
0,mixkit-fast-traveling-into-dubai-metro-28677.mp4,Fast traveling into Dubai Metro
0,mixkit-outside-a-plane-window-4203.mp4,View from a plane window as it lands in an airport near from the seashore.
0,mixkit-rolling-corridor-at-an-airport-4642.mp4,"Shot of a rolling corridor in an airport, while people with suitcases and luggage go from one side to another out of focus."
0,mixkit-cargo-ship-full-of-containers-4011.mp4,"Cargo ship full of multi-colored containers at the unloading dock, in the background the blue sky with clouds and container cranes"
0,mixkit-interior-of-the-train-station-4390.mp4,"Interior of the train station, while people with suitcases walk in all directions, there are businesses in small kiosks, above a screen with itineraries, and up above a large window."
0,mixkit-fisheye-lens-shot-of-the-subway-arriving-4449.mp4,"Shot with a fisheye lens of the subway arriving at a station in Tokyo, the floodgates open and people board it."
0,mixkit-bike-ride-of-a-couple-through-a-city-park-41875.mp4,Bike ride of a young couple through a sunny city park.
0,mixkit-working-giving-directions-to-freight-truck-23852.mp4,Working giving directions to freight truck
0,mixkit-vehicular-movement-on-the-roads-at-a-junction-40917.mp4,"Movement of cars, trucks, motorcycles and people on the roads at a junction in a big city, in a view from above."
0,mixkit-a-couples-walk-after-a-bike-ride-41871.mp4,"Slow walk of a couple after a bike ride through a sunny park, full of trees and benches."
